name,fide_id,date_of_birth,birthplace,died,title_year,federation,gender,notes,links,latitude,longitude
"Lorenzini, Martin",105570,1975-09-26,"Santa Fe de la Vera Cruz, Argentina",NA,2014,Argentina,Male,NA,https://ratings.fide.com/profile/105570,-31.5951094665973,-60.7268975768023
"Guimard, Carlos",100650,1913-04-06,"Santiago del Estero, Argentina",1998-09-11,1960,Argentina,Male,NA,https://ratings.fide.com/profile/100650,-27.622311080295,-63.552753821007
"Pilnik, Herman",NA,1914-01-08,"Stuttgart, Germany",1981-11-12,1952,Argentina,Male,Honorary,https://ratings.fide.com/profile/NA,48.8061145214271,9.20671162965435
"Pérez Ponsa, Federico",117927,1993-10-22,"Zarate, Argentina",NA,2012,Argentina,Male,NA,https://ratings.fide.com/profile/117927,-34.0728431517227,-59.0124109413463
"Martirosyan, Haik M.",13306553,2000-07-14,"Artashat, Armenia",NA,2017,Armenia,Male,NA,https://ratings.fide.com/profile/13306553,39.8883777955183,44.5784298096773
"Akopian, Vladimir",13300032,1971-12-07,"Yerevan, Armenia",NA,1991,United States,Male,NA,https://ratings.fide.com/profile/13300032,40.19146410622,44.5131396769657
"Danielian, Elina",13300210,1978-08-16,"Baku, Azerbaijan",NA,2010,Armenia,Female,NA,https://ratings.fide.com/profile/13300210,40.3914994187638,49.8053918053488
"Galdunts, Sergey",13300067,1965-01-17,"Baku, Azerbaijan",NA,2003,Armenia,Male,NA,https://ratings.fide.com/profile/13300067,40.3784513577339,49.8095655281561
"Gharibyan, Mamikon",13308300,2004-09-21,Gyumri,NA,2023,Armenia,Male,IM,https://ratings.fide.com/profile/13308300,40.8098617876929,43.8177381805477
"Minasian, Ara",13300377,1974-04-14,Gyumri,NA,2004,Armenia,Male,NA,https://ratings.fide.com/profile/13300377,40.7927596453394,43.8310482131557
"Pashikian, Arman",13301578,1987-07-28,Irkutsk,NA,2007,Armenia,Male,NA,https://ratings.fide.com/profile/13301578,56.6521238580283,104.702925675883
"Seferjan, Narek",13301071,1974-08-20,"Moscow, Russia",NA,1998,Armenia,Male,NA,https://ratings.fide.com/profile/13301071,55.72091761895,37.6102583844897
"Aghasaryan, Robert",13302841,1994-03-01,Saint Petersburg,NA,2014,Armenia,Male,NA,https://ratings.fide.com/profile/13302841,27.7889935991509,-82.6323761661237
"Hayrapetyan, Hovik",13302639,1990-02-15,Khankendi,NA,2013,Armenia,Male,[note 44],https://ratings.fide.com/profile/13302639,39.8213460657474,46.7483614646047
"Markosian, David S.",13300466,1972-01-24,Khankendi,NA,2008,Armenia,Male,NA,https://ratings.fide.com/profile/13300466,39.8263759920428,46.7241667357329
"Petrosyan, Manuel",13300857,1998-05-06,Khankendi,NA,2017,Armenia,Male,NA,https://ratings.fide.com/profile/13300857,39.820167976111,46.7268179691033
"Arzumanian, Georgy",13300660,1980-08-16,Tbilisi,NA,2009,Armenia,Male,NA,https://ratings.fide.com/profile/13300660,41.6788826671973,44.8043331106695
"Chibukhchian, Artur",13300717,1979-10-06,Tbilisi,NA,2009,Armenia,Male,NA,https://ratings.fide.com/profile/13300717,41.6782679537017,44.7959318113549
"Ter-Sahakyan, Samvel",13302531,1993-09-19,Vanadzor,NA,2009,Armenia,Male,NA,https://ratings.fide.com/profile/13302531,40.7983114258292,44.4613896205753
"Akobian, Varuzhan",13300580,1983-11-19,"Yerevan, Armenia",NA,2004,United States,Male,NA,https://ratings.fide.com/profile/13300580,40.1594792723173,44.5068136295321
"Anastasian, Ashot",13300059,1964-07-16,"Yerevan, Armenia",2016-12-26,1993,Armenia,Male,NA,https://ratings.fide.com/profile/13300059,40.1599907439977,44.5218022986379
"Andriasian, Zaven",13302000,1989-03-11,"Yerevan, Armenia",NA,2006,Armenia,Male,IM,https://ratings.fide.com/profile/13302000,40.1999631889846,44.4846566196223
"Aronian, Levon",13300474,1982-10-06,"Yerevan, Armenia",NA,2000,United States,Male,NA,https://ratings.fide.com/profile/13300474,40.2072390517809,44.5260973624437
"Asrian, Karen",13300490,1980-04-24,"Yerevan, Armenia",2008-06-09,1998,Armenia,Male,NA,https://ratings.fide.com/profile/13300490,40.1695359390445,44.5379092653113
"Babujian, Levon",13301993,1986-05-08,"Yerevan, Armenia",NA,2010,Armenia,Male,NA,https://ratings.fide.com/profile/13301993,40.2019783716632,44.5392896558269
"Baghdasaryan, Vahe",13303139,1993-03-20,"Yerevan, Armenia",NA,2017,Armenia,Male,NA,https://ratings.fide.com/profile/13303139,40.1882799572714,44.4905109389097
"Danielian, Oganes",13300237,1974-01-03,"Yerevan, Armenia",2016-08-08,1999,Armenia,Male,NA,https://ratings.fide.com/profile/13300237,40.2041033504561,44.5070868931542
"Gabuzyan, Hovhannes",13303732,1995-05-19,"Yerevan, Armenia",NA,2012,Armenia,Male,NA,https://ratings.fide.com/profile/13303732,40.1788344767673,44.4989064745483
"Grigoryan, Avetik",13302191,1989-01-27,"Yerevan, Armenia",NA,2008,Armenia,Male,IM,https://ratings.fide.com/profile/13302191,40.2073900919577,44.5186895895581
"Grigoryan, Karen H.",13301004,1995-02-25,"Yerevan, Armenia",NA,2013,Armenia,Male,NA,https://ratings.fide.com/profile/13301004,40.1486023824413,44.5399534158473
